name;pixelCount;target;original;blur;contrast;gamma
1364175481_ebec946d86_1269_9147790@N08;726604;3;3;1;3;3
1364899661_73674c3377_1015_7626129@N04;187500;3;3;3;3;3
1364900733_01d99b4b66_1180_7626129@N04;187500;3;2;1;2;2
1368653206_862ab50d1c_1060_13366450@N07;786432;3;3;3;3;3
1368912795_ed45e4c708_1227_50924698@N00;698368;3;3;2;3;3
1369485894_70172d1f42_1310_7217186@N03;697344;2;2;2;2;2
1371027110_ad2188683a_1379_98039838@N00;786432;3;3;2;3;2
1372249647_1eac2cb3c5_1259_40808145@N00;786432;3;2;0;2;2
1373075036_75c0231f15_1239_40808145@N00;786432;3;2;2;2;2
1376293540_4ede7a9d44_1268_7217186@N03;697344;2;2;2;2;2
1381110515_d43ca688b8_1109_82873804@N00;786432;2;2;2;2;2
1382068169_784d243faa_1425_70728159@N00;695296;3;4;3;3;3
1382085115_5934c6a45a_1044_70728159@N00;695296;3;3;0;3;3
1382974344_934a683ca0_1082_70728159@N00;695296;2;1;0;1;2
1384022938_a2b1514816_1063_13168238@N05;791552;3;3;3;3;3
1384131681_ab26668cb2_1207_64327758@N00;701440;2;2;2;2;2
1387366601_0e7c277462_1097_40022587@N00;126840;3;3;2;3;3
1387379983_d6986f1330_1436_7604951@N07;791552;3;3;2;2;2
1387995037_f8e3e176bc_1160_8743210@N04;446016;3;3;3;3;3
1388013935_224ca30dcf_1305_8743210@N04;786432;2;2;2;2;2
1393844267_8aa5222484_1007_56428209@N00;163000;2;2;2;2;2
1399308627_aceaa9f276_1429_11322101@N06;808960;2;2;2;2;2
1405086939_7e3d8fce21_1438_24486548@N00;699392;2;2;2;2;2
1406229280_bb14e28896_1310_10754171@N03;187500;2;2;1;1;1
1408739433_f2eff1dce6_1396_33218299@N00;786432;3;3;2;2;4
1416001310_260547f8fa_1389_34385941@N00;167000;2;1;1;1;2
1419625162_3074be5b59_1232_11147942@N07;240000;2;2;2;2;2
1424342591_746bb33bf4_1201_10591108@N02;187500;2;2;1;2;2
1427242704_147b152ffd_1416_71242171@N00;786432;2;2;2;2;2
1430867148_3de1184915_1370_42869697@N00;839680;2;2;2;2;2
1432349299_a26d9cc830_1392_8180963@N03;199500;2;2;2;2;2
1432349485_5b6b254791_1104_8180963@N03;199500;2;2;2;2;2
1432349597_98c82c913d_1200_8180963@N03;199500;2;2;2;2;2
1433225576_73c430eb66_1260_8180963@N03;200000;2;2;2;2;2
1435627172_1d5a7fb199_1188_33218299@N00;564260;2;2;2;2;2
1436655274_4429f2c1a9_1313_46488509@N00;197500;2;2;2;2;2
1439536991_61d8d609e0_1437_45438431@N00;140868;2;2;2;2;2
1439537501_788de2cf98_1158_45438431@N00;166500;2;2;2;2;2
1440139755_f274df88c4_1101_56536686@N00;166500;2;2;2;2;2
1440397514_358dba1051_1103_45438431@N00;166500;2;2;2;2;2
1440574612_1ed70b4437_1006_12272921@N06;250000;2;2;1;2;2
1442257673_2978f8cbfe_1413_10768045@N07;904192;2;2;2;2;2
1443768190_e948a7cd97_1020_82873804@N00;786432;2;2;3;2;2
1447181959_d573674598_1202_91278406@N00;702464;2;2;1;1;2
1447188195_db41807ed2_1021_91278406@N00;702464;2;2;0;2;2
1452804049_17fa7a6d2d_1045_44759627@N00;166500;2;2;2;2;2
1452804639_e12792008e_1160_44759627@N00;166500;2;2;2;2;2
1452805119_8061fb6c8c_1227_44759627@N00;166500;2;2;2;2;2
1474267746_8f65515462_1091_13240326@N06;698368;5;4;3;4;4
1590913143_04513d3830_2349_85123978@N00;166500;4;4;2;4;4
1592316216_cc56edf26d_2403_18486724@N00;167000;4;2;0;2;2
1626930574_ea0df7cedd_2318_36506481@N00;786432;4;4;4;4;4
2113864056_2757f50f45_2291_10728198@N07;187500;4;4;2;4;4
1000887309_c2a3b6445e_1357_40124061@N00;167500;4;3;0;3;3
1003227459_6165537cc6_1230_82312837@N00;175000;4;4;2;4;4
1003649130_b82441765c_1028_41324968@N00;166500;4;4;0;3;2
1004418060_e1b03900cc_1128_52888429@N00;164000;4;1;0;2;0
1011184800_cbe1b6f2f6_1222_10952553@N06;203000;4;4;3;4;4
1029632761_7056133f42_1344_11037128@N02;151632;4;4;3;4;4
1029710562_9d8616d069_1059_21847161@N00;786432;4;3;1;3;3
1034303003_f3eefc4619_1289_82791675@N00;786432;4;4;4;4;4
1053122962_d6ceb32e21_1066_16274418@N00;166500;4;4;0;3;4
1054619265_7788a199e0_1220_10829460@N04;699392;4;4;4;4;4
1055315392_69d23a751c_1047_8441726@N05;786432;6;5;5;5;5
1062363255_a11e12cd6f_1300_9663297@N06;786432;4;4;4;4;4
1063221260_b22efe74d6_1261_9663297@N06;786432;4;4;4;4;4
1068926938_2c131bacd9_1217_11236525@N06;786432;4;4;4;4;4
1075522421_5761bff3e8_1399_11300355@N08;187500;4;3;0;3;2
1078334128_497d382cf5_1332_9988384@N03;838656;4;4;4;4;4
1105130659_7078b56875_1424_98853949@N00;150528;4;4;0;4;4
1105895385_1366d869e0_1224_11049069@N05;699392;6;6;1;6;6
1119239364_e30a126d86_1395_21974809@N00;790528;4;4;4;4;4
1119526142_ef9293bd10_1024_21974809@N00;713728;4;4;4;4;4
1151134151_d675e76ba8_1199_44811059@N00;167000;4;4;3;4;4
1172767662_05238820df_1329_11576585@N03;180000;8;8;4;8;8
1174861040_d7f3b36e2d_1293_83131204@N00;786432;7;7;1;7;7
1200376418_767a453e24_1365_46042146@N00;1048576;5;5;3;5;4
1207353522_b7f2f83c11_1021_67011721@N00;699392;4;4;4;4;4
1211916745_45c0a891e1_1027_73995592@N00;786432;4;4;4;4;4
1213947813_393bf4cb5a_1163_12048986@N08;786432;4;4;4;4;4
1229611814_da11458c1f_1088_74075822@N00;786432;4;4;3;4;4
1232947509_e5be90ffc4_1083_17798382@N00;187500;4;3;0;3;3
1243355280_a601167523_1341_12425206@N00;699392;4;4;4;4;4
1243855551_2cc5f00eff_1417_60432743@N00;187500;4;4;3;4;4
1245365558_894742e311_1259_32858590@N00;786432;4;4;2;4;4
1255085699_01dc9b02e0_1403_39243191@N00;699392;4;4;4;4;4
1258470788_4d2c595ac4_1101_46278893@N00;701440;4;4;4;4;4
1260649378_bd51d168f4_1354_80484199@N00;786432;4;4;4;4;4
1273594910_7f04ab7d55_1060_7844374@N05;161920;5;5;0;5;5
1275685659_aa8815b499_1003_52888429@N00;162336;4;4;2;4;4
1281981197_5cd38b8750_1238_39437954@N00;786432;4;4;4;4;4
1283271036_f8e764e7b4_1417_67017883@N00;250000;4;2;1;2;2
1287538849_3a4b7c8cf1_1225_79163859@N00;187500;4;4;0;4;3
1301629107_d2238a67a5_1032_12471866@N07;699392;4;4;4;4;4
1303576969_7f1cd78052_1116_66534763@N00;699392;4;4;4;4;4
1306897001_07d16bc3c8_1181_74762283@N00;167000;4;4;1;4;4
1323094408_c46d3c0113_1357_25265855@N00;160480;4;4;2;4;4
1325181879_0f63ba91e9_1043_40646519@N00;789504;4;4;3;4;4
1333794238_5bc0400880_1372_9657441@N04;699392;4;4;4;4;4
1334586584_ad02f01908_1314_12818713@N08;141220;4;4;3;4;4
1335944765_e2ad50ac2c_1327_12549788@N02;187500;4;3;2;3;3
1337900652_b35f9638f9_1030_8398557@N04;786432;4;4;3;4;4
1344476348_117aa0a1e6_1003_9009834@N06;186500;4;3;0;3;3
1344828244_3e480b6dbc_1349_12951016@N03;166000;5;3;0;3;3
1351685287_64222ad229_1339_11812618@N02;699392;5;5;3;5;5
1351728783_45e3cf29b0_1253_11812618@N02;699392;4;4;4;4;4
1352291907_dcc107619a_1033_8488799@N06;187500;4;4;2;4;4
1352404679_4fd9dc71e4_1349_13114465@N02;697344;6;4;0;4;4
1353159301_b239f74a09_1349_12742322@N02;697344;4;4;4;4;4
1354814133_abfc67472e_1057_12596411@N00;786432;6;6;2;6;6
1360715180_c11d35da86_1177_74815696@N00;187500;5;5;0;5;5
1362936621_33349db978_1218_87984001@N00;786432;4;4;4;4;4
1366137743_a598147496_1075_50952567@N00;786432;4;4;4;4;4
1368174852_be6b4502ba_1396_8751729@N02;167500;4;4;1;4;4
1369469298_f0dc1f5229_1073_7217186@N03;697344;6;6;2;6;6
1372399808_09ff425a28_1400_29098086@N00;786432;4;4;3;4;4
1382612307_b3bc9c64e7_1312_11096436@N05;786432;4;4;3;4;4
1383741867_a4182ef007_1064_19623720@N00;167500;4;4;1;4;4
1393275299_11b606fb50_1014_94902018@N00;699392;5;5;4;5;5
1424481463_1df18f8291_1429_13986708@N07;786432;5;5;2;4;4
1424801444_08d516e416_1382_13994285@N02;699392;6;5;5;5;5
1424959701_ea1e14a448_1122_42437110@N00;699392;5;5;4;5;5
1430313359_486cbe932a_1396_42437110@N00;699392;4;5;3;5;5
1433126408_fd454037d9_1218_57038667@N00;891904;4;4;4;4;4
1435744212_a04af67c79_1440_96218023@N00;858112;4;4;4;4;4
1446106714_549f180280_1080_52871134@N00;699392;4;4;4;4;4
1446294716_0659fef283_1373_95098913@N00;786432;4;4;4;4;4
1448018888_90d954578e_1435_19215540@N00;187500;4;4;3;4;4
1448694398_1dc199c32b_1059_52818162@N00;166500;5;3;0;3;3
1454339893_74a2aeadb2_1391_18964834@N00;697344;5;5;4;5;5
1455024668_e24b1f947f_1053_32665437@N00;697344;4;4;4;4;4
1460456282_00f9039639_1057_68927324@N00;697344;5;5;5;5;5
1460483771_de65a4a959_1103_7913860@N03;166500;4;4;2;4;4
1464568300_d9742fe9b1_1153_15744862@N00;187500;4;4;0;3;3
1481457978_68e995146a_1243_7943755@N06;699392;4;4;3;4;4
1500988255_7e72185f24_2015_41527905@N00;786432;5;5;3;5;5
1505566470_d655ca8705_2244_31543835@N00;697344;4;4;4;4;4
1521623469_4b220d4e13_2254_47982852@N00;698368;5;4;3;4;5
1523985097_dc2bc90e38_2272_12862544@N07;166500;4;4;1;4;4
1524849942_e887dc63f1_2417_12862544@N07;166500;4;4;4;4;4
1525328066_8e1d00a28a_2017_13731524@N03;169000;4;4;3;4;4
1525328438_5f3aab4743_2081_13731524@N03;196000;4;4;4;4;4
1525552042_ae9cfb57b5_2150_8557415@N05;786432;4;4;4;4;4
1532958731_7d77cdf13c_2360_13195832@N04;786432;4;4;3;4;4
1534456985_7ae235ce63_2238_26554535@N00;178500;4;4;3;4;4
1545678707_16f82072a2_2044_70426727@N00;695296;6;6;6;6;6
1561079277_ef1c8ff7a4_2341_13987146@N06;187500;4;4;3;4;4
1565087027_ec107c912a_2257_78705411@N00;166500;4;4;3;4;4
1579577097_6c86003ab5_2215_15119692@N07;181500;4;4;2;4;4
1580504304_2ac41ccb27_2210_15030185@N05;162500;4;4;1;4;4
1580607626_1d5ae56a47_2419_15030185@N05;163000;4;0;0;0;1
1587831911_d6efcaea72_2104_64155482@N00;699392;4;4;4;4;4
1588419874_0bdb046a3a_2041_30689048@N00;167000;5;5;3;5;5
1609374063_1d0fc74fd0_2124_14426551@N02;166500;4;4;0;4;4
1612096412_a0c25b0fe6_2077_98307374@N00;699392;5;5;4;5;5
1618462265_70d4e9d531_2012_25559937@N00;699392;4;4;4;4;4
1618464991_9ef03c12b1_2116_25559937@N00;699392;4;4;4;4;4
1619445496_47ce98b040_2046_25559937@N00;699392;4;4;4;4;4
1619452922_b520656a84_2016_25559937@N00;699392;4;4;4;4;4
1622627485_5c297b94d3_2301_51035655711@N01;786432;4;4;3;4;4
1664452065_d82f52ba10_2307_38649975@N00;166500;5;5;1;5;5
1682351640_10b9209a29_2217_16104739@N00;701440;4;4;4;4;4
1702121515_2694c52ce0_2150_29756933@N00;786432;4;4;4;4;4
1703077097_897bb3e24d_2197_15475309@N02;777150;4;4;4;4;4
1762604671_231ab26071_2149_96247146@N00;699392;5;5;5;5;5
1850863071_f3b8e1adda_2052_15137189@N07;196500;5;5;4;5;5
1867493580_2f2d788939_2047_9514893@N02;701440;5;5;3;5;5
1915513071_5738ec05ca_2126_98568706@N00;699392;5;5;4;5;4
1951160821_809ffa56b0_2125_99319294@N00;153600;6;6;3;6;6
2008922024_48cb1401c4_2399_84022533@N00;786432;5;5;5;5;5
2047949835_5577a8df95_2039_34328731@N00;697344;5;5;1;5;5
2053430587_153848def3_2004_37946699@N00;786432;5;5;1;5;5
2064979080_8a2d2252f9_2132_20947166@N00;838656;5;4;4;4;4
2075214982_3305c1c49c_2187_7920195@N03;197000;5;5;3;5;5
2084059954_cef477e87b_2069_72481613@N00;159000;5;5;2;5;5
2093257904_00275c635d_2256_52481047@N00;699392;5;5;4;5;5
2098429595_065e30b1d3_2173_52889139@N00;187000;5;5;0;5;4
2099696961_71829d0624_2108_11758584@N03;701440;5;5;2;5;5
2108379474_8200d7f697_2070_39471939@N00;699392;5;5;5;5;5
2390512818_e6a0db544f_3064_80027864@N00;698368;6;6;3;6;5
2393836242_6958da9f19_2111_23416527@N04;831488;7;5;2;5;5
2397630341_ddf00f90f9_2173_12540587@N08;166500;5;4;0;3;2
2398395979_105d068d91_2047_11220502@N08;187500;5;5;2;5;5
2407013081_77e4af6c3d_3001_9092145@N08;166500;5;5;2;5;5
2420202908_ddfa4efe68_2115_15545410@N00;786432;5;5;1;5;5
2429111029_7fb5c16b5d_3208_8658049@N02;698368;7;7;3;7;7
2430581512_49359d4948_3160_14321326@N00;166500;5;3;0;3;3
2435547035_d3361b25be_2191_10323774@N02;216500;5;5;4;5;5
2452938029_1ccbca6420_3152_8030883@N08;229500;5;4;4;4;4
2462484698_8fcec92ddb_2049_20694129@N03;700416;6;6;0;6;6
2466844064_2223170312_2341_94339831@N00;697344;5;5;4;5;5
2469945219_7168581767_2294_13164403@N08;699392;5;5;3;5;5
2490053966_b5b6c51cd8_2201_23819725@N06;786432;8;7;5;7;7
2517057312_bdb7cd5dd5_3244_27167543@N00;786432;5;4;3;4;5
2519244567_bb2872da44_2414_25254823@N03;786432;5;4;4;4;4
2534424553_e1544f0c63_2145_37141994@N00;166500;5;3;0;3;3
2536508520_d6440ec033_2080_17901088@N00;786432;5;5;3;5;5
2556104958_68c8757e4c_3026_55846726@N00;711680;6;6;3;6;6
2567007582_f803c6e842_3266_50861109@N00;661504;6;6;4;6;6
2593318373_7534d0c877_3232_47664628@N00;699392;5;5;5;5;5
2600721107_40457eabca_3122_26490663@N02;786432;5;5;3;5;5
2602489180_aa75e2e86a_3126_38687437@N00;167000;5;5;2;5;5
2602770656_d97c0eceae_3113_10192717@N03;699392;5;5;1;5;5
2609019456_a71f54d0dd_3188_97693904@N00;689152;5;5;4;5;5
2609024403_3a3d5eb297_3138_55532309@N00;697344;5;5;3;5;5
2622762056_aa1ed7f12f_3026_45468385@N00;747520;6;6;2;5;6
362299253_f894e546c1_156_90588965@N00;167500;5;4;4;4;4
369538590_a47ad7a104_166_10375311@N00;824320;5;4;4;4;4
1001325491_3a41ca91ab_1286_12692384@N00;178500;5;5;2;5;5
1001740180_3d1cc68688_1157_40124061@N00;167500;6;4;0;4;4
1005247582_193f04030b_1064_10927075@N05;699392;7;7;7;7;7
1009293829_79583230fc_1341_95976963@N00;1020928;5;5;4;5;5
1021736434_5043980eb0_1187_72854210@N00;166500;5;5;2;5;5
1025306358_9fe60ba39a_1289_96486979@N00;187500;5;5;1;5;5
1026495119_890e2c7077_1197_10875594@N04;166500;5;5;2;5;4
1046171989_83b5fadd2c_1200_82677435@N00;786432;5;5;4;4;4
1046412264_289c11f073_1183_15055157@N00;786432;6;6;4;6;6
1046412294_09d8c07147_1374_15055157@N00;786432;6;6;5;6;6
1054885705_a4010a1716_1328_68125117@N00;820224;5;5;5;5;5
1065569389_38f4b634ca_1297_11229575@N06;786432;6;6;4;6;6
1067320579_af912b8c0a_1178_10234579@N00;193500;6;6;5;6;6
1071903704_50ace6452a_1005_58085844@N00;786432;7;7;6;6;7
1072606051_4726aa51c7_1161_11026324@N06;187500;6;5;0;5;5
1073502802_0e3acbecab_1119_11026324@N06;186500;5;5;0;5;4
1081846553_fee7683268_1156_10717857@N00;698368;6;6;3;6;6
1101454722_3ff5fd8d1a_1160_61006038@N00;786432;7;7;5;7;7
1116021103_5878489d3f_1190_66002097@N00;786432;6;6;4;6;6
1122126730_e3a0c73a23_1309_8131996@N04;846848;5;5;5;5;5
1129604482_13ebda56bb_1034_8654514@N06;187500;5;3;0;3;2
1133496180_34b8fe9e50_1342_86483865@N00;697344;5;5;5;5;5
1144693862_805954f632_1388_10230252@N02;200000;6;0;0;0;0
